time,lat,lon,alt,sds01-pm2.5,sds01-pm10,sds01-TSP,sds02-pm2.5,sds02-pm10,sds02-TSP,sds03-pm2.5,sds03-pm10,sds03-TSP,sds04-pm2.5,sds04-pm10,sds04-TSP
2019-08-07 12:14:33,53.806025894,-1.556197608,107.13,nan,nan,nan,1.3,4.2,6,nan,nan,nan,1.3,8,4.2
2019-08-07 12:14:53,53.80562482,-1.55670922,60.243,nan,nan,nan,1.7,11,13.2,nan,nan,nan,2.1,12.4,9.4
2019-08-07 12:15:13,53.805780141,-1.55539949,220.861,nan,nan,nan,2.4,23.3,0.6,nan,nan,nan,1.7,9.6,6.2
2019-08-07 12:15:33,53.805119194,-1.55583913,141.883,nan,nan,nan,3.4,45.5,23.9,nan,nan,nan,1.4,4.6,0.9
2019-08-07 12:15:53,53.805148548,-1.555169618,177.15,nan,nan,nan,2.6,33.1,10.7,nan,nan,nan,1.7,9.9,6.5
2019-08-07 12:16:13,53.805205471,-1.554339655,217.718,nan,nan,nan,4.9,83.8,12.7,nan,nan,nan,1.5,12.3,8.7
2019-08-07 12:16:33,53.804930713,-1.554763029,130.148,nan,nan,nan,3.7,57.1,10.3,nan,nan,nan,2,7.5,4.4
2019-08-07 12:16:53,53.804968036,-1.554303768,114.395,nan,nan,nan,2.5,23.8,1.2,nan,nan,nan,1.8,5.1,1.8
2019-08-07 12:17:13,53.805023913,-1.554001393,95.061,nan,nan,nan,3.4,34.2,12.6,nan,nan,nan,1.5,3.9,0.3
2019-08-07 12:17:33,53.804967812,-1.553793826,80.919,nan,nan,nan,2,11.8,14.3,nan,nan,nan,1.8,4.9,1.6
2019-08-07 12:17:53,53.804706617,-1.553875773,85.093,nan,nan,nan,1.8,14.3,16.6,nan,nan,nan,2.8,5.4,3.1
2019-08-07 12:18:13,53.804551976,-1.553695998,79.052,nan,nan,nan,2.5,32.7,10.2,nan,nan,nan,1.7,6,2.6
2019-08-07 12:18:33,53.804471575,-1.553265613,84.002,nan,nan,nan,2.8,36.9,14.7,nan,nan,nan,1.8,7.7,4.4
2019-08-07 12:18:53,53.804438231,-1.552832484,78.044,nan,nan,nan,2.1,14.1,16.7,nan,nan,nan,1.8,5.7,2.4
2019-08-07 12:19:13,53.804387308,-1.552424438,76.79,nan,nan,nan,1.7,12.6,14.8,nan,nan,nan,1.7,6,2.6
2019-08-07 12:19:33,53.804398032,-1.551991274,67.676,nan,nan,nan,1.7,10.7,12.9,nan,nan,nan,1.8,5.3,2
2019-08-07 12:19:53,53.804376171,-1.551586942,66.806,nan,nan,nan,2.2,11.9,14.6,nan,nan,nan,1.5,5.5,1.9
2019-08-07 12:20:13,53.804229825,-1.551330329,66.471,nan,nan,nan,1.8,8.1,10.4,nan,nan,nan,2,5.6,2.5
2019-08-07 12:20:33,53.804042168,-1.551007211,73.627,nan,nan,nan,2,8.5,11,nan,nan,nan,2.3,6.4,3.6
2019-08-07 12:20:53,53.803803421,-1.550651784,81.028,nan,nan,nan,1.6,3.6,5.7,nan,nan,nan,3.1,5.1,3.1
2019-08-07 12:21:13,53.803623904,-1.55047039,70.421,nan,nan,nan,1.5,2.5,4.5,nan,nan,nan,1.7,4.3,0.9
2019-08-07 12:21:33,53.803441847,-1.550238064,68.472,nan,nan,nan,8.4,16.9,0.2,nan,nan,nan,6.5,15.3,16.7
2019-08-07 12:21:53,53.803263306,-1.549990363,64.725,nan,nan,nan,2.1,6.1,8.7,nan,nan,nan,2,4.9,1.8
2019-08-07 12:22:13,53.803029436,-1.549728489,66.562,nan,nan,nan,2,6.4,8.9,nan,nan,nan,1.9,4,0.8
2019-08-07 12:22:33,53.802838855,-1.549500037,61.144,nan,nan,nan,1.9,7.9,10.3,nan,nan,nan,2.1,6.2,3.2
2019-08-07 12:22:53,53.802648351,-1.54924603,59.065,nan,nan,nan,2,11,13.5,nan,nan,nan,2,6.8,3.7
2019-08-07 12:23:13,53.802621857,-1.549211094,56.353,nan,nan,nan,2.3,11.5,14.3,nan,nan,nan,1.6,4.7,1.2
2019-08-07 12:23:33,53.802614322,-1.549218277,59.395,nan,nan,nan,1.7,3.7,5.9,nan,nan,nan,1.6,4.8,1.3
2019-08-07 12:23:53,53.802409578,-1.549101465,53.532,nan,nan,nan,1.5,3.5,5.5,nan,nan,nan,1.9,5.1,1.9
2019-08-07 12:24:13,53.802124762,-1.549030126,58.987,nan,nan,nan,1.6,5.4,7.5,nan,nan,nan,1.9,5.3,2.1
